method,graph,clusters,noise,silhouette,davies_bouldin,calinski_harabasz,modularity
Classical graph metrics,LCC,101,2096,0.9718465950651016,0.5301429468437127,145881.86349333203,
Node2Vec + HDBSCAN,LCC,480,63258,0.6762575507164001,0.7437091425328018,2062.433139557949,
Louvain,LCC,171,0,-0.09143923968076706,4.558248624802846,116.99458541771851,0.9243631070749325
GraphSAGE + features,LCC,89,4356,0.974122941493988,0.7588385370277492,103288.53182940048,
Structural GraphSAGE,LCC,31,418,0.9486293792724609,2.232314911346727,1140528632.463343,
